City,Lat,Temp(F),Humidity(%),Cloudiness(%),Wind(mph)
sabang,13.8,81.0,83,100,3.0
ojinaga,29.56,85.42,28,1,6.93
milkovo,41.53,78.87,50,32,3.11
norman wells,65.28,66.2,68,20,4.7
aklavik,68.22,60.8,77,20,6.93
butaritari,3.07,84.07,70,26,4.0
codrington,-28.95,48.04,87,40,2.15
vanimo,-2.67,82.09,80,100,14.43
smithers,54.78,53.6,93,75,3.36
pevek,69.7,36.19,76,0,4.65
lae,-6.72,67.51,97,96,0.72
bulawayo,-20.16,58.87,22,4,8.61
faanui,-16.48,79.75,82,0,10.04
mairang,25.56,86.0,84,75,1.05
nikolayevsk-na-amure,53.14,37.63,75,23,1.66
talmenka,53.82,62.6,77,40,6.71
faya,18.39,85.14,9,20,13.87
krasnoarmeysk,56.12,65.41,100,20,4.47
cherskiy,68.75,35.65,91,100,13.85
iglesias,42.3,93.74,22,20,11.41
cabo san lucas,22.89,85.01,66,20,9.17
svetlogorsk,53.14,62.6,67,40,8.95
san patricio,-26.98,59.77,92,100,5.3
matara,-3.48,80.6,69,20,11.41
saint-georges,46.12,65.03,61,0,3.0
torbay,47.66,66.13,82,90,16.11
esperance,-33.86,55.4,71,40,12.75
bol,13.47,89.65,48,2,6.82
namibe,-15.19,66.2,88,90,16.11
east london,-33.02,59.0,72,0,8.05
vaini,15.34,76.15,95,100,2.51
thinadhoo,0.53,83.71,63,84,3.2
riberalta,-11.0,86.0,66,75,6.93
bubaque,11.28,78.49,86,91,16.82
saskylakh,71.97,44.47,74,43,2.28
henties bay,-22.12,60.01,82,0,7.0
dukat,40.25,82.51,55,0,10.0
aksu,52.04,64.4,77,90,8.95
sainte-rose,45.61,71.06,56,75,8.05
sobolevo,54.43,61.03,79,64,8.08
hermanus,-34.42,55.22,72,86,8.99
isangel,-19.55,70.57,73,5,12.71
viedma,-40.81,56.35,26,0,11.77
chokurdakh,70.62,40.15,73,100,10.09
nikolskoye,59.7,62.8,59,75,8.95
chuy,-33.69,52.93,73,100,13.27
great malvern,52.11,77.7,57,20,8.05
hasaki,35.73,74.43,100,20,2.24
buta,2.79,71.29,97,100,2.21
pervomayskoye,57.07,55.45,88,37,4.29
college,64.86,65.46,72,1,3.2
jieshi,22.82,86.0,83,51,1.01
nantucket,41.28,71.35,68,1,9.17
provideniya,64.42,44.11,95,100,3.89
chernyshevskiy,63.01,57.79,58,13,4.54
anadyr,64.73,46.2,100,90,1.79
artyom,43.36,71.6,100,40,2.24
santa cruz del sur,20.71,93.25,45,0,6.33
olinda,-37.84,49.82,93,40,8.05
myitkyina,25.38,70.57,99,100,1.92
bilibino,68.06,34.93,96,100,5.77
shahrud,36.42,65.89,18,0,3.69
south lake tahoe,38.93,77.63,38,1,5.06
lagoa,37.14,79.05,73,0,11.41
port hardy,50.7,60.8,72,40,4.7
erechim,-27.64,77.0,53,0,9.17
sandnessjoen,66.02,67.46,82,40,4.7
chipinge,-20.19,63.37,29,5,5.79
osinovo,62.87,63.37,70,49,5.08
belovo,54.42,56.35,90,44,3.87
micheweni,-4.97,76.87,68,0,21.27
alice springs,-23.7,42.8,35,90,5.82
tuktoyaktuk,69.44,48.2,81,75,17.22
gallup,35.53,74.23,44,1,8.05
hervey bay,-25.3,50.99,93,0,5.82
lopandino,52.46,61.93,85,98,3.36
castro,-42.48,46.4,81,20,4.7
sao jose da coroa grande,-8.9,73.45,91,100,4.45
chimbote,-9.08,62.29,88,100,16.11
dingle,11.0,73.99,90,0,5.08
kudahuvadhoo,2.67,83.89,63,55,2.66
agapovka,53.3,62.6,67,40,8.95
almirante,9.29,63.0,39,17,8.99
gurupi,-11.73,94.69,22,0,6.29
oranjemund,-28.55,55.99,77,0,13.35
mudgee,-32.6,31.46,80,0,1.12
ubinskoye,55.31,59.23,87,37,4.25
ouadda,8.07,70.57,95,74,3.67
manokwari,-0.87,71.29,85,11,5.79
komsomolskiy,67.55,49.87,65,93,8.63
sydney,-33.85,44.1,57,0,11.41
bonthe,7.53,77.95,77,22,9.66
yumen,40.29,76.15,22,0,3.96
darnah,32.77,77.95,88,0,14.29
mahebourg,-20.41,69.91,83,75,11.41
steinbach,49.53,78.64,57,75,13.87
tome,38.69,68.95,98,75,1.12
la cumbre,19.55,91.26,52,20,11.41
arlit,18.74,87.67,40,48,31.23
hofn,64.25,39.43,96,100,13.04
tasiilaq,65.61,50.0,66,40,14.99
sitka,37.17,82.99,37,0,7.0
tual,-5.67,76.33,89,85,16.62
goundi,9.36,79.39,78,25,2.28
mandera,3.94,84.07,38,92,14.05
dryden,49.79,77.0,53,1,8.05
broome,52.47,86.88,29,0,11.41
atbasar,51.81,60.85,88,29,7.14
yenotayevka,47.24,80.47,27,94,5.7
wewak,-3.55,75.61,90,64,5.44
launceston,-41.43,49.48,87,100,17.22
ponta delgada,37.73,73.4,64,40,13.87
sioux lookout,50.1,77.0,53,75,8.05
manaia,-5.02,85.69,46,90,7.94
careiro da varzea,-3.2,89.67,58,40,5.82
urengoy,65.96,58.69,52,4,17.9
dubbo,-32.25,39.2,88,0,5.82
nishihara,35.74,77.81,88,90,3.36
biltine,14.53,96.85,27,3,5.88
sao filipe,14.9,74.71,82,62,6.06
cayenne,4.94,86.0,66,3,8.05
angoche,-16.23,65.71,66,0,3.76
kimbe,-5.56,72.37,82,100,4.65
lompoc,34.64,71.13,60,1,4.7
kamenka,48.03,72.0,62,60,1.99
iqaluit,63.75,41.0,80,75,14.99
kilindoni,-7.91,76.69,76,0,23.09
igarka,67.47,61.39,54,99,16.6
narsaq,60.91,51.8,66,75,9.17
nicolas bravo,24.39,66.11,68,90,9.17
terrace,54.52,59.0,67,75,18.34
uige,-7.61,77.0,73,20,4.7
batagay-alyta,67.8,57.07,53,79,4.97
sibu,2.29,77.0,94,75,2.24
kuantan,3.82,78.3,88,75,2.24
georgetown,6.8,87.94,74,40,9.17
sambava,-14.27,62.65,95,15,3.04
banjarmasin,-3.32,75.25,82,95,11.56
dudinka,69.41,59.0,54,75,33.55
gazli,40.13,91.27,19,0,14.16
opuwo,-18.06,62.11,37,0,4.97
pangody,65.85,53.47,55,74,18.57
collie,-33.36,52.92,72,100,2.44
french harbor,16.35,86.0,70,75,13.87
tazmalt,36.39,84.2,70,20,10.29
saint-pierre,48.95,102.45,19,0,6.93
luderitz,-26.65,60.8,67,0,19.46
klaksvik,62.23,53.6,100,90,10.29
pimentel,-3.7,88.75,48,61,5.48
ponta do sol,-20.63,76.69,38,0,5.97
benjamin aceval,-24.97,53.6,81,90,9.17
chihuahua,28.66,78.3,53,75,9.17
ellsworth,38.73,80.17,44,1,12.75
la ronge,55.1,78.8,57,75,10.29
saldanha,41.42,88.93,23,0,16.55
lao cai,22.48,64.63,98,100,1.5
havoysund,71.0,54.5,93,75,4.7
road town,18.42,87.51,59,40,12.75
prince rupert,54.32,59.0,77,75,5.82
paracuru,-3.41,84.16,55,40,12.75
valladolid,41.65,93.74,24,0,8.05
salalah,17.01,78.8,88,90,4.7
lincoln,53.23,81.77,39,0,16.11
necochea,-38.55,51.01,74,0,4.0
bud,62.91,71.1,69,0,5.82
lubao,-5.39,78.49,23,0,2.64
samarai,-10.62,67.15,86,18,3.42
nador,35.17,82.67,74,40,8.05
ornskoldsvik,63.29,79.79,47,0,5.82
seddon,-37.81,50.04,87,75,10.29
aiquile,-18.2,52.21,78,92,6.15
tiksi,71.64,43.39,68,77,2.98
richards bay,-28.77,69.67,52,0,14.63
geraldton,49.72,69.8,77,90,3.36
venado tuerto,-33.75,59.0,26,86,1.99
gulfport,30.37,83.14,58,1,6.93
patiya,22.3,82.4,94,75,8.05
vao,59.1,68.77,68,1,9.55
yar-sale,66.83,52.03,57,68,10.0
kyshtovka,56.56,60.67,69,89,4.32
khandyga,62.65,50.77,61,0,3.18
akdepe,42.05,97.03,23,0,11.9
sur,22.57,80.29,75,99,17.96
trofors,65.54,68.09,77,40,3.36
izazi,-7.24,73.4,40,5,3.36
dinguiraye,11.29,74.71,92,64,1.66
ponta pora,-22.54,55.4,100,90,9.17
jamtara,23.95,79.75,85,100,5.61
vostok,46.45,66.07,98,100,5.17
derzhavinsk,51.1,67.33,62,25,8.25
belmonte,40.36,91.29,41,0,8.99
mokolo,10.74,81.91,64,27,4.34
nakhon thai,17.1,73.45,97,100,3.4
morant bay,17.88,89.6,55,20,17.22
shevchenkove,49.7,71.6,68,20,6.71
moron,18.56,83.35,69,5,3.51
sinnamary,5.38,81.91,77,0,12.95
pangai,-19.8,72.19,66,16,11.14
ust-maya,60.42,51.31,80,0,1.83
robe,7.12,52.03,77,77,3.36
kirakira,-10.46,75.79,85,61,16.42
zhezkazgan,47.8,74.71,35,0,10.96
qandala,11.47,90.19,47,93,30.96
santa rosa,-36.62,58.15,25,0,8.14
deoranian,28.63,82.99,80,100,8.32
fortuna,40.6,59.74,100,90,4.7
dzhubga,44.32,66.61,93,13,4.07
chippewa falls,44.94,78.69,61,1,3.36
lavrentiya,65.58,44.29,96,100,4.25
loandjili,-4.77,75.2,83,20,10.29
kupino,54.36,63.73,68,4,7.09
havre-saint-pierre,50.23,64.4,82,75,6.93
changji,32.07,80.83,82,77,5.5
toamasina,-18.17,69.8,83,75,6.93
daoukro,7.06,77.95,82,57,2.13
senno,57.76,73.4,56,50,4.47
despotovac,44.1,70.93,61,4,5.46
bozhou,33.86,79.75,90,50,6.31
san jose,14.25,84.2,58,1,11.41
porto de moz,-1.75,93.07,34,0,4.34
meru,0.05,52.03,93,75,1.32
mantua,45.16,95.41,36,0,3.36
vengerovo,55.68,60.67,73,100,5.57
honningsvag,70.98,53.6,93,75,4.7
curitibanos,-27.29,75.0,99,69,4.0
talnakh,69.49,59.0,54,75,33.55
dali,34.79,82.81,48,47,3.11
dehui,44.53,69.8,83,75,4.47
laja,-37.28,51.24,61,0,14.99
synya,65.37,57.97,70,12,3.74
harper,30.3,82.09,37,40,10.56
karratha,-20.74,67.15,51,74,7.65
williams lake,52.13,59.0,51,90,11.41
fairbanks,64.84,65.75,72,1,3.2
inuvik,68.36,60.8,67,40,10.29
tver,56.86,61.57,90,90,4.45
vila velha,-3.71,84.02,55,40,12.75
camacha,33.08,75.88,73,20,11.41
mareeba,-16.99,66.67,73,90,16.11
wanning,48.64,87.78,24,20,2.24
alofi,-19.06,64.4,93,9,8.39
talavera de la reina,39.96,100.99,17,14,1.99
itarema,-2.92,86.23,56,69,11.36
susuman,62.78,45.73,60,45,1.3
charters towers,-20.07,55.99,57,81,7.34
panama city,30.16,84.76,74,40,7.16
vila do maio,15.13,86.0,62,20,12.75
batemans bay,-35.71,33.06,97,0,1.01
coquimbo,-29.95,55.4,66,20,6.93
jaru,-10.43,95.77,22,32,5.77
patrasaer,23.2,81.91,81,100,8.79
hirara,24.8,83.17,79,100,10.22
krasnokamensk,50.1,48.61,91,25,4.85
sorong,-0.86,73.63,96,89,6.26
aksarka,66.56,50.77,62,0,9.24
laguna,16.17,86.0,79,40,4.7
port blair,11.67,83.53,80,100,18.45
nizhnevartovsk,60.93,59.0,87,75,2.24
abashiri,44.01,64.63,96,97,1.68
kapit,2.02,72.19,99,96,1.21
kutum,14.2,83.89,33,89,5.12
qatana,33.43,80.82,15,0,23.04
brownwood,31.71,82.67,42,75,6.93
carbonia,39.17,90.03,51,0,11.41
manta,45.1,68.95,72,65,0.89
tessalit,20.2,83.71,54,66,26.75
aquiraz,-3.9,86.0,55,40,12.75
cockburn town,21.46,91.4,66,40,13.87
lumsden,50.65,77.72,73,40,8.05
kawalu,-7.38,67.15,89,86,3.06
rincon,8.46,84.2,74,20,9.17
maumere,-8.63,70.93,59,4,4.47
grand forks,47.91,78.75,57,1,10.29
tabou,4.42,77.59,75,60,5.01
strezhevoy,60.73,59.0,87,75,2.24
lask,51.59,76.93,50,0,5.82
maniitsoq,65.42,42.85,90,100,9.91
ixtapa,20.71,81.18,83,90,6.93
benghazi,32.12,79.93,74,0,15.86
ilulissat,69.22,44.6,87,75,3.36
timra,62.49,79.84,54,0,8.05
busia,0.47,66.07,76,7,0.92
beloha,-25.17,63.91,73,0,4.59
chabahar,25.29,86.0,79,40,6.93
mehamn,71.03,53.6,93,75,4.7
atar,20.52,108.37,14,0,8.43
prainha,-1.8,93.25,35,12,3.89
almeria,36.84,87.8,55,0,6.93
rio cuarto,-33.13,51.8,50,0,9.17
neiafu,-18.65,68.0,94,75,10.47
chantada,42.61,80.85,69,20,10.29
gore,8.15,58.69,98,97,0.83
moose factory,51.26,51.8,87,90,10.29
teeli,51.01,53.11,78,100,10.54
ocos,14.51,82.29,70,75,4.7
mahayag,8.13,70.39,98,100,3.6
jambi,-1.6,71.83,87,25,2.37
puerto suarez,-18.96,64.4,59,100,18.34
shaoguan,24.81,75.97,90,13,1.19
yarada,17.65,86.0,84,40,9.17
melfi,41.0,88.68,35,0,13.87
wilmington,39.75,80.46,48,1,5.97
joshimath,30.57,59.23,97,100,1.86
khorramabad,33.48,94.78,15,20,4.7
kantang,7.42,77.59,83,100,1.28
aloleng,16.13,84.43,70,100,5.23
kruisfontein,-34.0,48.07,78,0,3.02
ladispoli,41.95,88.79,70,0,9.17
leningradskiy,69.38,37.09,89,22,6.11
dumra,26.38,79.21,92,89,3.13
ust-ilimsk,57.96,65.17,62,61,2.44
tsabong,-26.02,45.37,64,0,1.5
magnitka,55.34,56.35,80,72,0.89
kailua,21.39,75.67,88,75,8.05
ulladulla,-35.36,47.17,65,0,11.41
mount isa,-20.73,62.6,27,12,10.29
ustka,54.58,67.87,85,0,7.18
puerto escondido,15.86,87.8,58,40,5.82
port lincoln,-34.72,57.79,78,81,14.36
saint-paul,45.22,98.44,20,0,8.05
edd,13.93,88.03,67,0,7.02
soe,57.91,77.0,47,25,3.36
carmo do paranaiba,-19.0,75.99,56,8,3.0
mayo,63.59,64.4,59,75,1.9
male,50.74,62.29,90,84,6.64
catole do rocha,-6.34,82.45,50,69,6.29
ambikapur,23.12,77.41,83,99,6.6
ust-kuyga,70.0,43.39,70,93,3.6
tomakomai,42.65,66.83,100,90,8.05
acajutla,13.59,82.81,72,100,11.18
kitui,-1.37,67.87,53,17,10.98
san policarpo,12.18,78.13,87,18,4.9
port keats,-14.25,66.61,31,92,10.94
nioki,-2.72,86.23,35,13,1.14
canutama,-6.53,93.61,37,44,4.94
oktyabrskoye,56.73,61.97,100,40,2.95
kirkwall,58.98,65.86,93,75,11.41
nha trang,12.24,86.0,66,20,4.7
takoradi,4.89,77.59,77,56,7.07
atherton,-17.27,66.61,73,90,16.11
quelimane,-17.88,59.95,77,0,4.56
manaure,11.78,93.2,46,75,16.11
lishui,28.45,73.45,92,100,1.63
baragua,21.7,87.67,62,96,10.6
constitucion,23.99,65.68,68,90,9.17
maldonado,-34.91,51.8,66,90,13.87
howard springs,-12.5,68.83,83,87,4.7
progreso,-34.68,53.4,66,75,125.49
olga,34.11,85.06,57,40,6.93
qaqortoq,60.72,51.8,66,75,9.17
ryotsu,38.08,71.6,100,35,1.12
vaitape,-16.52,79.75,82,0,10.04
izhma,65.01,65.17,66,64,2.44
tura,64.27,58.51,75,100,2.15
abu dhabi,24.47,96.89,63,33,10.29
maceio,-9.67,78.8,69,75,19.46
bambanglipuro,-7.95,74.71,86,85,18.92
sao felix do xingu,-6.64,93.61,27,3,5.32
rio branco,-9.98,87.8,62,40,4.7
tuatapere,-46.13,37.0,96,70,1.99
upata,8.02,87.67,51,6,4.99
pamplona,42.82,90.93,13,20,11.41
tarakan,3.3,78.49,85,72,1.63
andijon,40.76,80.33,42,0,6.71
voloshka,61.33,61.75,87,99,5.21
wattegama,7.35,73.45,86,93,4.12
praia da vitoria,38.73,74.19,64,20,18.45
ahuimanu,21.44,75.67,88,75,8.05
vila franca do campo,37.72,73.4,64,40,13.87
xichang,27.88,58.87,98,100,1.5
yukamenskoye,57.89,61.93,84,10,2.82
tamale,9.4,81.55,74,67,5.97
sayyan,15.17,78.49,41,18,4.56
thanh hoa,10.21,78.8,100,75,3.36
plouzane,48.38,78.04,50,0,10.29
labuhan,-2.54,70.75,86,57,1.95
chimoio,-19.11,73.4,43,0,1.43
tignere,7.37,70.39,94,50,2.66
hvide sande,56.01,85.41,54,71,5.82
kon tum,14.36,67.33,99,46,0.29
ballina,54.11,64.6,93,75,9.17
nome,30.04,81.09,54,40,4.7
amzya,56.24,61.75,92,3,2.46
pangnirtung,66.15,44.6,93,75,8.05
ewa beach,21.32,75.63,74,20,9.46
northampton,-28.35,48.2,93,21,8.9
stara paka,50.51,86.43,29,0,5.82
uyuni,-20.46,31.51,99,100,14.92
kupang,-10.16,74.89,71,11,16.22
baykit,61.68,56.71,57,81,2.75
bowen,-20.01,53.06,93,59,4.7
millau,44.1,96.8,22,0,11.41
lovozero,68.01,64.99,75,98,6.4
kabansk,52.06,59.0,87,83,4.47
la trinite,48.25,79.03,54,0,6.93
poum,41.28,78.8,34,40,9.17
vilyuysk,63.75,58.51,55,100,4.56
yulara,-25.24,50.0,31,53,5.82
kulhudhuffushi,6.62,82.63,74,86,11.5
gold coast,-28.0,52.39,48,0,8.05
pointe michel,15.25,83.5,83,75,2.24
verkhnevilyuysk,63.45,57.25,59,100,2.93
moranbah,-22.0,54.19,79,45,4.32
makakilo city,21.35,75.38,88,1,3.36
esil,51.96,64.45,75,11,8.05
olds,51.79,64.53,77,75,5.82
dorado,18.46,89.13,66,20,19.46
nyrob,60.74,59.41,76,33,2.66
nyurba,63.29,57.79,57,100,2.75
san juan,-31.54,38.89,44,0,5.66
rio gallegos,-51.62,41.0,75,0,14.99
ostrovnoy,68.05,62.47,74,26,13.82
jasper,33.83,81.19,39,1,10.02
kulevcha,52.24,63.55,90,100,5.59
cody,44.53,76.51,33,1,6.93
bindura,-17.3,55.45,28,0,3.62
springdale,36.19,76.62,47,1,4.7
killam,52.79,68.41,83,100,13.96
kuandian,40.73,71.83,98,86,2.42
yantarnyy,54.87,69.8,68,0,11.18
marquette,46.54,78.93,39,75,11.41
te anau,-45.41,40.51,82,69,1.07
port-cartier,50.03,68.0,52,40,12.75
yining,29.04,76.33,87,41,1.74
bilaspur,22.08,83.17,73,100,4.32
baker city,44.77,65.46,45,1,8.05
muros,42.77,74.52,69,20,10.29
payyannur,12.1,75.2,100,90,2.24
gravina in puglia,40.82,87.67,51,0,8.05
tres picos,16.23,80.83,71,83,4.54
trairi,-3.28,87.31,45,62,6.78
yantal,56.85,60.67,80,100,1.45
kaniama,-7.57,71.29,19,0,2.57
